content,sentiment
"Sangat membantu,,",Positif
Dukung terus profesionalisme POLRI #PRESISI,Positif
"Mohon ijin bertanya🙏🙏🙏 secara proses perpanjangan di aplikasi selalu ERROR, apakah bisa malakukan proses perpanjangan ke lokasi satpas terdekat atau ada solusi lain.?!",Positif
Kenapa aplikasi belum siap digunakan ya? Padahal saya lagi butuh SIM,Positif
"Tolong diperbaiki lagi dan ditambahkan untuk perpanjangan SIM B1/B1 Umum, SIM B2/B2 Umum, jangan cuma SIM A dan SIM C saja yg bisa perpanjangan dengan sistem online, sukses terus Korlantas POLRI👍🏼👍🏼👍🏼",Positif
Bagus,Positif
"Sudah pada tahap verifikasi KTP, tapi gagal karena nomor pakai kartu halo, ganti pake nomor simpati bisa, saya harap ke depan juga ada pilihan fitur ganti nomor, karena seperti nya belum ada fitur itu sekarang",Positif
Tinggal kesehatan yg blm bisa online,Positif
Tinggal transfer pembayaran akhir tp nomer rekening tidak bisa dilihat kembali. Gimana solusinya... :(,Positif
Aplikasi yang sangat membantu dan memudahkan masyarakat dalam proses perpanjangan SIM,Positif
"Aplikasi keren... Walau harus mencari waktu untuk mengirim data... Terima kasih... Sy tinggal menunggu SIM saya dikirim... Sesuai janji, sy kasih Bintang 5....",Positif
"Yang gagal verifikasi ktp gagal, buka terlebih dahulu email akan ada aktivasi akun email, setelah itu baru verifikasi ktp. Saya sudah ditahap 3 dalam pemilihan satpas wilayah lampung tidak terbaca.",Positif
sangat membantu,Positif
"Sudah ada perkembangan baik, nice buat developer dan niat korlantas untuk bertransformasi. Hanya saja untuk pemilihan satpas polres wilayah polda jatim belum lengkap. Semoga fitur-fitur nya tambah lengkap dan dapat mempermudah masyarakat 👍👍",Positif
Mantaap,Positif
"Saya Domisilinya di wilayah Jawa barat, tetapi SATPAS wilayah Jawa barat tidak ada pada saat pendaftaran SIM online akhirnya saya pilih SATPAS Polda Metro Jaya dan akhirnya SIMnya di kirim juga.",Positif
"mohon pencerahan, untuk verifikasi ktp, sudah sesuai instruksi, tetapi gagal terus...",Positif
"Mantap ndan, semoga terus melakukan kaizen. Buat yang blm sukses pake aplikasi ini, sabar, kalem telatenin, ane udah berhasil nerima sim perpanjangan, membantu sangat yg saat ini ane lagi tugas luar daerah. SEMONGKO NDAN",Positif
"Sekarang foto sim bisa lebih glowing hahaha, utk yg bingung pilih satpas, pilih aja satpas terdekat kalian dmn aja. Lalu isi alamat kalian, dan ikuti proses nya... Semoga pengembangan aplikasinya utk semua fitur bs disegerakan sampai komplit dan Tq POLRI utk aplikasinya...",Positif
Mantab akhirnya SIM di kirim ke rumah dengan aman. Semoga kedepannya makin cepat prosesnya dan segera aktif perpanjang STNK juga di apliaksi ini. Teruskan dan tingkatkan kembali servernya team Digital Korlantas POLRI 🙏,Positif
"mantap, sangat membatu untuk memperpanjang masa berlaku sim saya",Positif
Notifikasi OTP sms tidak diterima,Positif
Semoga servis online ini bisa bermanfaat bagi warga negara Indonesia khususnya yang di pelosok negeri,Positif
Belum ada,Positif
Alhamdulillah sukses perpanjang sim,Positif
Tingkat kan terus aplikasi nya,Positif
"Digitalisasi SIM selalu gagal. Ini kasih bintang 5 setelah -/+ semingguan setelah direspon, akhirnya berhasil, semoga lebih berhasil kedepannya",Positif
Mantap... Jdi lbih mudah,Positif
"Mantap, 1 hari langsung beres, dikirim lewat pos hari ke 3 sudah sampai, biaya juga sesuai, Terima kasih inovasi dan transparansinya, dalam meningkatkan pelayanan ke masyarakat",Positif
kenapa saya isi data eror terus pa admin tolong di cek dong,Positif
"Smoga smua bisa, kl tdk nnt dkrngi bintangnya",Positif
"aplikasi yang bagus, membantu kami masyarakat dalam mengetahui pengguna jalan dll",Positif
"Apabila fisik SIM tidak dapat ditunjukkan ke petugas, apakah SIM digital sudah dapat mewakili Fisik SIM yg ada??",Positif
Suruh verifikasi wajah aja gagal teruss.. Padahal wajah sendiri. Gak pernah operasi plastik.,Positif
Bagus... 👍,Positif
Mantap lah🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,Positif
"Sudah terdaftar Tapi kenapa belum bisa melakukan pendaftaran secara Online , keterangan fitur belum tersedia Ditunggu update nya",Positif
"Hari saya meng-update aplikasi ini. Namun keluhan di bawah sama sekali belum ada solusi. Aplikasinya tetep, tidak ada perubahan dari yang sebelumnya: Saya sudah menyelesaikan tahapan e-rikkes dan tes psikologi. NAMUN masalah justru muncul ketika menge-KLIK Lokasi SATPAS. Polda JATIM muncul, namun hanya hanya 1 kabupaten, yaitu JOMBANG. Sementara saya tinggal di Kabupaten Pamekasan. Apa solusinya?",Positif
Mantap di perbarui dan periksa bug nya !,Positif
Barusan udah update dan ada perbaikan saat add dokumen tidak langsung gagal tapi disuruh lengkapi data moga semakin baik appnya dan lebih lengkap seperti samsat digital dll,Positif
Membantu efisiensi masyarakat,Positif
Mantap gan,Positif
"Assalmualaikum pak mohon ijin memberi saran kalau bisa dari pihak polri ada video panduan yang di upload di IG, YUTUBE atau media sosial lainya biar kami para pengguna aplikasi ini paham dan ter arah jujur saja saya juga bingung mau daptar sim baru tapi alurnya masih bingung mohon maaf sebelumnya",Positif
"Verifikasi e-ktp memang agak sulit, pilih waktu yg kira2 sepi pengguna. Lalu download ePPsi SIM, daftar, login, beli voucher dan kerjakan tes-nya. Jika lulus baru download eRRikes, daftar, isi disini saya tidak beli voucher lulus tes kesehatan tanpa ke klinik, lalu upload foto ktp dll, pilihan polda hanya polda metro dan polda jatim, saya pilih polda metro, wlwpun saya di DIY. Pilih dikirim pos, bayar, selesai, sekarang sedang menunggu sim di antar pos",Positif
sudah agak baik tapi kurang lancar dalam memilih lokasi satpas,Positif
"Saya sudah urus sim perpanjang, tapi kelewat jam pembayaran, mau dibatalkan gak bisa, mau di urus perpanjang lagi gak bisa Nomor rekening gak bisa di lihat, Solusinya giamna ini ?",Positif
Ditunggu Updatenya untuk membuat sim online,Positif
Sangat recommended 3 hari jadi di kirim kerumah.ga usah keluar rumah untuk perpanjangan sim,Positif
Good service,Positif
Mantap,Positif
Alhamdulillah lancar dan sukses. Semoga SIM nya sampe dirumah Makasih ngab 👍👍,Positif
"Aplikasi yg saya tunggu"" selama bertahun-tahun. Terimakasih telah memudahkan urusan perpanjangan SIM saya. Biaya lebih murah dan gak perlu antri"". Domisili Bandung juga ternyata bisa ya pilih polda metro jaya. Mantap.",Positif
Alhamdulillah berhasil tinggal tunggu proses pencetakan dan pengiriman SIM.... Bravo Korlantas....Bravo Polri,Positif
"sdh mulai merata, ayo semangat buat team developer nya 💪💪",Positif
"Alhamdulillah Akhirnya jadi juga, walaupun lumayan lama",Positif
"SiM A & SiM C sudah di terima di rumah 😀 Terima kasih sangat membatu, Semoga sukses selalu untuk POLRI🥰 Buat rekan2 yg mau perpanjang/bikin baru, bila terjadi eror di aplikasi harap coba lain jam atau lain hari, mungkin server padat merayap seperti lalu-lintas menuju pelaminan denganMu, EaaaaaaaaaaaaaaK...🤣🤣🤣 Semua dilakukan dengan transfer jadi ga perlu keluar rumah apalagi antri, Seperti antri memasuki hati yg belum terbuka... Uhuuuuuuuy... 😂😂😂",Positif
Mantap,Positif
"Aplikasi lumayan bagus,semoga saja buat kedepannya bisa lebih sangat bagus lagi. Terima kasih jg udah membantu perpanjangan SIM A saya lewat aplikasi ini..",Positif
Saya sudah bisa sampai proses akhir..👍👍,Positif
Mohon maaf sebelumnya ide nya bagus tapi penerapan nya agak kurang kalau saja aplikasi ini mudah diakses akan sangat membantu masyarakat mengurangi calo dan menghemat waktu dijaman digitalisasi seharusnya institusi sebesar polri pasti sangat mudah mendapat SDM yg jago membuat aplikasi yg berkualitas semoga bisa diperbaiki dan bisa berguna bagi kami masyarakat kecil tetap semangat dan jaya selalu polri melindungi dan mengayomi masyarakat,Positif
"Klo berjalan normal seharusnya aplikasi ini sangat membantu yg penting harus sinkron juga dengan unit dilapangan. Perlu ditambahkan juga alamat pengiriman selain alamat KTP jika SIM harus dikirim, karena belum tentu juga tinggalnya sesuai alamat KTP(pindah tugas). Sudah beberapa kali coba update foto profil gagal terus.Verifikasi KTP gagal terus, padahal sudah mengikuti gerakan sesuai perintah. Mungkin verifikasi KTP bisa dipermudah cukup dg upload foto selfi memegang KTP",Positif
"Masih belum komplit menunya,dan kadang susah login",Positif
Josssss,Positif
"Opsi pembayarannya tidak ada, nomor rekening atau va-nya",Positif
"Alhamdulillah setelah dua kali ditolak akirnya yang ketiga kali berhasil, intinya kita harus teliti mengisi datanya karena dua kali gagal ternyata kesalahan ada pada bigron foto tidak pakai warna biru, terimakasih Dan👍🏻👍🏻👍🏻",Positif
"Status udah di bayar, dari tgl 17 sampe sekarang kaga di proses juga..",Positif
"Perpanjangan Sim A dan Sim C dibuat Hari Jumat, Selasa paginya udah dapat. MANTUL terobosannya Korlantas Polri. Terima kasih.",Positif
Terima kasih korlantas. Menperpanjang sim tinggal duduk manis dirumah. Jaya selalu,Positif
"Terimakasih atas peluncuran aplikasinya, sangat membantu saya karena cukup perpanjang dari rumah dan dalam 3 hari SIM dikirim dari Depok ke Solo. (-) Untuk awal"" memang agak sulit untuk verifikasi dan mendapatkan kode OTP nya. Mohon diperhatikan untuk kedepannya.",Positif
"Cara untuk tes kesehatan E-Rikkes dan E-Ppsi gimana ya?? Saya klik di menu nya kok ga bisa bisa ya Tujuan saya untuk perpanjangan SIM Mohon izin Pak Ketua, bagaimana cara nya? Terimakasih",Positif
"Alhamdulillah selesai juga proses perpanjang sim, subuh ngisi ngikutin istruksi di app, siang dah jadi, hari besok sampe simnya pke kurir pos. Tinggal duduk manis ajaa drmh gk usah ngantri, smoga makin berkembang appnya biar bisa semua",Positif
"sejauh ini penggunaan aplikasi tidak ada kendala, memang masih banyak menu yang masih dalam tahap pengembangan. verifikasi data dari KTP, SIM, telp dan email juga sudah berhasil, tinggal coba tahun depan buat perpanjangan. Semoga aplikasinya segera terlaksana sepenuhnya.",Positif
Terhindar dari antrean hemat waktu fraktis digital oriented,Positif
Baru 2 Polda ya pakkk...... Polda Jabar kapan pakkk,Positif
"Sebab aplikasi nya sudah bisa saya gunakan untuk mendaftar dan verifikasi ktp, bintang nya saya tambah. Semoga layanan lainnya yang ada di aplikasi ini segera bisa di nikmati pengguna nya. Nanti kalo semua layanan sudah tersedia, saya naikkan lagi bintang nya. Terima kasih sudah memberikan kemudahan layanan kepada masyarakat, apalagi di musim begini yang sangat membantu.",Positif
Mantul aplikasi nya 🙏👍,Positif
"mantap , bagi yang gak bisa verifikasi ktp , gerakan kepala harus sama dengan contohnya jangan terlalu cepat",Positif
Tidak jalan,Positif
Ko proses nya lama ya min. Pdhl udh transfer.,Positif
"Alhamdulillah proses pendaftaran no. NIK dan no hp terverifikasi.... meskipun OTP agak lambat tetapi saya coba malamnya lancar, tampilan apk ok, untuk pembayaran STNK online segera mungkin...saya baru kasih bintang 4...sukses buat Korlantas polri dan makin maju",Positif
"Download aja dulu. Kalau masih banyak kekurangan, wajarlah. Namanya juga aplikasi baru. Apresiasi untuk POLRI yang mau berinovasi",Positif
Sangat membantu,Positif
Saya Sudan bisa cuman sayang poto Profil gak pernah aktif padahal sudah says masukin poto profilnya..,Positif
Awalnya susah masuknya... Akhirnya bisa jg.. Dan SIM saya ahirnya jadi jg... Bagus pokoknya.. Sangat membantu..,Positif
"sukses memperpanjang sim, semoga sisi keandalan bisa lebih ditingkatkan.",Positif
Alhmdllh saya mencobanya dan berjalan lancar...mudah dan gampang....tapi kota2 proses jadinya kpn ya...biaya sdh saya lunasi.....,Positif
"Verifikasi udah selesai semua, cma untuk STNK masih dalam pengembangan, mudah2an secepatnya bisa di gunakan semuanya.",Positif
Baru SIM A & C,Positif
"Lihat comentnya pada negatif semua,, itu sebenarnya untuk tes online semua bro, itu ada linknya di aplikasi ini, saya sudah coba dan sampai tahap akhir, sekarg tinggal nunggu simnya saja , mogaaja cepet",Positif
Aplikasi sangat membantu dan mudah dimengerti oleh siapapun. Saran saya adalah mungkin masih perly perbaikan lagi yang belum bagus terutama saat melengkapi data agak eror. Data sudah benar ada notif data belum bisa. Tapi setelah keluar ternyata data sudah masuk dan benar. Terimakasih dan saya harap aplikasi ini tetap dipertahankan serta diperbaiki lagi barangkali ada bug.,Positif
"Aplikasi bagus dan mudah, tes psikologi dan kesehatan juga mudah, untuk menghindari orang orang yg main tembak kesehatan dan psikologi yg menyebabkan kecelakaan lalulintas, dimasa pandemi covid ini aplikasi online ini sangat diperlukan namun agar dapat dijaga dari hacker kerahasiaan data pribadi, saya sdh selesai prosesnya dari pagi dan sdh membayar biaya sim A dan C lwt BNI namun setelah itu prosesnya kok lama ya, statusnya masih 40% padahal kalo di satpas tidak sampai 1 jam setelah dok masuk.",Positif
Mantul,Positif
"Lumayan, tinggal nunggu SIM datang,tapi biaya kirim nya mehong 25rb",Positif
Bisa bantu jawab ga cara pembayaran tes psikologi online dan pembayaran sim nya?,Positif
"Saya baru perpanjang sim online lewat aplikasi ini, mudah lancar tanpa kendala, sim baru saya terima tadi setelah nunggu 3 hari dikirim lewat pos Indonesia, terima kasih😊😊",Positif
Untuk perpanjangan sim sudah bisa online. Terima kasih kepada kepolisian sudah memberikan pelayanan sim menjadi lebih mudah dan simple prosesnya.,Positif
Sim sudah di proses pengiriman tapi tanggal berlakunya kenapa masiih taun skrng ya 🙈 mohon penjelasannya ya krna msiih belom paham perihal tgl berlaku,Positif
"Alhamdulillah akhirnya SIMnya datang dengang selamat. Saya tambahin jadi 5 bintang. Kalo bisa dikasih foto, saya kirim fotonya juga nih hehehe. Kereeennn. Mantap untuk Korlantas. Joss terusss",Positif
bapak / ibu polisi saya sudah rekam sim di aplikasi trus dibatalkan ... karena pilihan di polda jatim satpasnya hanya di polres jombang mohon di perbaiki dulu aplikasinya ... terima kasih,Positif
"Polda yg bisa dipilih cuma jatim ama metro?satpasnya jauh...moga bisa di perluas.sy masuk polda jabar,satpas bogor kota.dan itu belum ada di aplikasi.",Positif
Alhamdulilah... Semoga polri semakin profesional..👍,Positif
"saya sudah terdaftar saya mau masuk pakai kode otp lg,sedangkan otp nya gak masuk'' sudah berapakali coba tetap gak ada sms otp nya,tolong di perbarui apk nya yg sudah terdaftar,tinggal login gitu biar mudah..makasih",Positif
Benar benar membantu. Semoga SIM nya cepat jadi dan dikirim.. Lancar selalu korlantas polri 💪,Positif
"Di edit g bisa ya, saya register salah masa berlaku sim nya, sudah byr dan tampilan sim smpek tgl sekarang, shg masa berlaku sim baru pas sama persis dengan masa habis sim lama",Positif
"Alhamdulillah bisa perpanjang sim online harus extra sabar, semua hanya di lakukan di handphone, mulai rikkes dan eppsi nya... Tinggal tunggu proses. Saya lupa kalau habis sim saya 100 hari lagi, sedangkan di keterangan yang bisa perpanjang harus 90 hari baru bisa...udah bayar paling kalau gak bisa uang kembali 😂",Positif
Aplikasi sudah mulai bagus dan lancar semoga kedepan nya bisa lebih bagus lagi semangat POLRI,Positif
Kode pos bnyk blm terdaftar contoh saya tinggal cirendeu kode pos terdaftar .,Positif
Ok lah apk langsung bisa login tpi katanya bisa buat SIM dsb❓❓lolololo kenapa gak bisa masih dalam pengembangan gmna² yg pasti ² aja,Positif
"Semoga cepat disempurnakan aplikasinya , supaya bisa berfungsi dengan baik . Semangat kalian semua . Trims.",Positif
Keren,Positif
"Assalamualaikum makasih kepada bapak2 ibu2 jajaran Polri, yang memudahkan kami masyarakat dalam mengurus administrasi kami dengan Digitalisasi, yang dapat menjangkau dan fleksibilitas kami sebagai masyarakat tentu nya sangat terbantu dengan aplikasi ini terutama dalam hal administrasi berkendara, seperti Pembuatan SIM & Perpanjang SIM . Semoga kedepannya dapat melayani masyarakat dengan lebih baik lagi., Terimakasih aplikasi yang berguna... Yang kasih rating jelek mungkin spek HP nya kentang😁",Positif
Inovasi POLRI memberikan kemudahan bagi pemohon SIM...good job..,Positif
"Sekarang kasih bintang 5, berhasil perpanjang SIM tanpa ribet. Semoga ke depan semakin bagus. Salut untuk Polri!",Positif
Kerennnn,Positif
"Akhirnya bisa juga dapet SIM nya, ternyata memang harus dilakukan berulang² dan ""telaten"" (mungkin krn baru ya 🤭), dan server nya ""overload"" 🤭 (yah mohon maklum deh, yg penting akhirnya bisa. Buat bantuan, harus pilih² waktunya, cari yg kira² orang lain nggak ""ngelink"" 😀😀😀",Positif
Senoga bermanfaat,Positif
"Memang benar, aplikasi ini masih jauh dari kata sempurna dan perlu banyak perbaikan. Bintang 5 ini sebagai bentuk apresiasi trobosan digitalisasi pelayanan publik, pastinya aplikasi ini kedepan akan sangat memudahkan masyarakat. Semangat buat tim developernya! Masih banyak yg harus diperbaiki, kami sangat menantikan perbaikannya.",Positif
Butuh 1000 tahun untuk dapat OTP tp tetep gak dapet2 OTP,Positif
Saya sudah mengikuti instruksi yang tertera untuk verifikasi ktp dan ketika selesai malah muncul notifikasi gagal. Kenapa ya?,Positif
"maaf mau tanya. saya kan wilayah polda jawa barat polresta bogor. namun di menu pemilihan lokasi satpas.. wilayah polda dan satpas tersebut tidak ketemu, apa yang harus saya lakukan ?",Positif
Mantap,Positif
Kok gabisa ya unggah dokumennya?itu kenapa yaa?,Positif
Untuk menambahkan dokumen sim yang ke 2 msh gagal terus terutama untuk SIM A,Positif
Good job..,Positif
"Verifikasi e-mail gagal terus, apa perlu email baru?",Positif
"Saran saya di terbitkan buku saku atau panduan dalam format pdf untuk mempermudah penggunaan aplikasi ini.Karena setelah saya mencoba beberapa fitur terhubung ke Aplikasi lain seperti e-Rikkes, ePPsi SIM dan AVIS. Terima Kasih",Positif
"nunggu OTP ga dateng² pak, hapus donlot aplikasi berkali², sejak aplikasi loncing belum bisa juga daftar, bravo untuk pak polisi yang sedang berusaha mengikuti kemajuan teknologi untuk mempermudah pelayanan kepada masyarakat, jangan hiraukan msayarakat yang bisanya cuma menghujat pak, berusaha terus untuk perbaikan pak, semangaaaaat",Positif
"Kenapa ga bisa digunakan,padahal sdh verifikasi e-ktp n berhasil laporannya,foto wajah dan semua sdh lengkap begitu blsn email dri korlantas tpi ttp ga bsa digunakan.",Positif
Dari login lancar tetapi sampai lokasi satpas gak bisa lanjut. Sebagai aplikasi baru saya kira cukup bagus. Tetapi kalau aplikasi polri seharusnya sudah bagus baru launching,Positif
"Senang , tapi belum berhasil login, Hari berikutnya lancar , saran untuk rikkes sebaiknya upload dokumen pemeriksaan ke dokter umum deket rumah , lha kalau ditunjukkan dokternya ,bukannya sy masih antri , akhirnya belum jadi pakai aplikasi.",Positif
Sudah lumayan bagus dan membantu. Pengajuan tanggal 15 april sim sampe rumah 17 april. Lokasi sragen jateng. Mungkin masih perlu banyak perbaikan di server kalo banyak user yang akses jadi lemot saat nunggu otp ataupun verifikasi data. Terima kasih,Positif
"Aplikasinya cukup bagus, Pendaftaran nya gampang., Klw boleh pak, mohon untuk pembuatan SIM baru di adakan juga di aplikasi ini, dimasa pandemi seperti sekarang, untuk menghindari resiko terkena covid-19. Agar masyarakat lebih aman, Terima kasih",Positif
"Alhamdulillah sdh selesai prosesnya.... tes kesehatan, tes psikologi dan proses terakhirnya yaitu pembayaran dan pengiriman.....tinggal tunggu hasilnya yaitu menunggu kiriman SIM baru",Positif
Mohon Segera Dikembangkan Lagi Aplikasinya Untuk Vitur Yang Lainnya Juga. Saya Yakin Aplikasi Ini Sangat Membantu Masyarakat.,Positif
Sangat Baik,Positif
"Awal muter2, akhirnya bisa, buatkan tutorial di YouTube yg jelas biar gak bingung. Tinggal nunggu pos.. tpi masih blum bisa lacak proses sampe mana ya . Semoga bisa.. Klo bisa tes kesehatan dan psikologi jdi 1 dalam aplikasi yg sama agar gak bolak balik download aplikasi lain Semoga semakin memudahkan.",Positif
"Pertama download & coba,keren banget,belum semua fitur bisa,masih proses,saran yang komen otp g dapat2,pass ketik nomer tlf tanpa **0** karena sudah ada **+62**,thanks.",Positif
"Mantap,",Positif
"Saya harap bug - bug yang ada di aplikasi ini bisa segera diperbaiki dan untuk kedepannya semoga aplikasi ini bisa mempermudah perpanjangan SIM secara online, terutama yang sedang berada di luar kota.",Positif
"Aplikasi yg sangat membantu, pendaftarannya pun sangat mudah... Thanks...",Positif
"Bagus,,sangat membantu 👍👍",Positif
"Akhirnya berhasil menggunakan aplikasi ini, sekarang tinggal menunggu kiriman SIM nya, semoga lancar. Selamat buat Polri, aplikasi ini benar-benar 100% online, pasti sangat bermanfaat buat masyarakat luas seperti yang sudah saya rasakan. Terus maju, terus berkembang menjadi Polri yang profesional dan berintegritas.",Positif
Mantap,Positif
"Nunggu fix, lihat komentar2 kok blm siap app nya. Semoga segera sempurna. Bantu kasih bintang, biar semangat",Positif
Terimakasih Polri. SIM Online berhasil. Tanpa perlu datang. Yang penting data lengkap & pembayaran lancar. Tes Kesehatan & Tes Psikologi gak perlu datang. Cukup Online. Salut untuk gebrakan inovasi pelayanan masyarakat. Kalo boleh ditambahkan pelayanan SKCK Online + STNK Online + Pajak Online.,Positif
Wilayah POLDA SUMUT belum bisa ya?,Positif
Mantab 1 hari lgsg jadi,Positif
"Saya sudah buktikan sendiri, cepat dan tidak ribet SIM sudah diterima",Positif
"Sudah bagus aplikasinya...untuk dapat kode otp, untuk edit data and masukan sim yg sudah diperoleh...sudah oke semua...",Positif
"Kenapa pada proses lokasi satpas tdk bs d klik pak/ibu, apakah belum tersedia di Sumatra Utara?",Positif
"Bintang 5 bukan untuk aplikasinya, tapi untuk Kapolrinya dan jajaran yg terlibat didalam pembuatan aplikasinya krn sudah berhasil bikin aplikasi ini. Walaupun blm bisa dikatakan mudah, tapi ini jalan dan bisa, asal sabar dan telaten. Karena aplikasi lainya (swasta murni grab/gojek atau plat merah pajak/perijinan) juga butuh bbrp tahun untuk jadi spt sekarang ini. Semoga kedepannya makin baik dan mudah digunakan, sukses POLRI...",Positif
"Saya sudah brhasih login, dan melakukan semua proses perpanjangan sim A dan C.. Dan akhirnya gagal karena satpas daerah saya tidak ada di aplikasi.. Daerah Jatim cuma ada satu satpas yaitu hanya satpas jombang saja. Mohon untuk segera di update dan di lengkapi semua satpas terutama di daerah jatim dengan tujuan agar semua kota bisa mengakses program ini. Terima Kasih",Positif
Pendaftaran berhasil,Positif
"Link Verifikasi Email-nya lama sekali masuknya,udh seharian nunggu😡😡😡😡😡😡😡😡😡",Positif
Waktu perpanjangan sim pas di lokasi satpas kenapa ga bisa di klik. Mohon bantuannya,Positif
"Aplikasi bagus sangat membantu Sudah saya input SIM A dan C saya ... lancar tanpa kendala, begitu memasukkan no SIM langsung nongol datanya verifikasi KTP juga cepat Saya kasih bintang 5 biar cepat disempurnakan aplikasi ini",Positif
"Awalnya sempat pesimis karena banyak kendala dipendaftaran via digital Korlantas, errikes dan eppsi tapi setelah dicoba berulangkali, Alhamdulillah berhasil. Sharing saja, pertama tes kesehatan secara online tanpa mesti datang ke tempat kliniknya. Kedua, tes psikologi memang byk pertanyaan tapi ga terlalu rumit kok. Ketiga, masuk ke sinar utk perpanjangan SIM. Ikuti instruksi nya. (perpanjangan SIM C saya sudah masuk tahap proses. Semoga tidak ada hambatan dalam proses dan pengiriman nantinya)",Positif
"Baru masuk ke Pin udah error, perlu perbaikan lagi",Positif
"Sebenarnya aplikasi ini sudah bagus dari segi desain UI, untuk UX masih harus ditingkatkan lagi, agar masyarakat bisa dengan mudah memahami, kalo perlu dibuatkan menu simulasi atau video tutorial. Jadi sebelum mencoba dengan data asli, masyarakat bisa memahami step apa saja yg harus dilakukan. Yg paling penting sih menurut saya bagian SERVER, klo bisa di setiap provinsi dibuatkan SERVER, supaya aplikasi ini tidak hanya membebankan di satu SERVER saja, yg nantinya dapat mengakibatkan DOWN 😁🇮🇩",Positif
"Aplikasi sudah cukup bagus, sudah sampai tahap akhir renew sim. Semoga kedepannya performa aplikasinya ditingkatkan 👍",Positif
Bagus terbaik,Positif
Kok belum bisa daftar / mengajukan permohonan pembuatan sim yah??,Positif
Aplikasi sangat membantu dalam proses perpanjangan SIM. Terimakasih Korlantas Polri.,Positif
Siip,Positif
lokasi polda Jatim..satpas nya cuma Jombang ya yg ada mohon segera di lengkapi soalnya tes semua udah lulus tinggl lokasi stpasnya gak ada,Positif
Akhirnya bisa daftar juga... jd bisa perpanjang online bln dpn.... mancaaaap,Positif
Semoga bermanfaat dan bisa membantu.. 🙏🙏,Positif
Tingkatkan terus aplikasinya komandan. Biar semua masyarakat Indonesia bisa menikmati,Positif
"Masih banyak sekali kekurangan dalam aplikasi ini tp saya apresiasi niat polri yg berupaya untuk berinovasi demi memudahkan masyarakat untuk mematuhi peraturan-peraturan dalam bernegara, semoga semakin baik lg kedepannya & semoga dengan adanya aplikasi ini dapat memberantas pungli dalam tubuh polri, kami ini masyarakat ingin sekali patuh tp dipersulit dengan adanya pungli yg ternyata masih merajalela..",Positif
Berguna,Positif
"Tinggal nunggu verifikasi dari Korlantas Metro Jaya, meskipun kami dari SULSEL yang jauh di sana, katanya bisa dikirim Via Pos. Terima Kasih Korlantas Polri untuk aplikasi nya yang sangat membantu",Positif
Lanjutkan dan perbaiki,Positif
Masih belum bisa digunakan,Positif
"untuk pusdokkesnya diwilayah saya tetep datang diporles,,waduh ya sama saja.kenapa tidak disinkronkan dengan puskesmas saja yang jarak nya lebih dekat dan sudah tersebar disetiap wilayah. di masa depan aplikasi ini akan semakin bagus kalau dikelola dengan baik",Positif
Alhamdulillah sudah bisa access walau belum banyak fitur yang bisa di buka,Positif
"Awalnya mengalami gangguan, setelah mencoba ber-xx masih gagal, akhirnya buka email dan menyampaikan permasalahan lalu diberi solusi, moga² semakin baik...maju terus...!!",Positif
Sudah acc semua tinggal nunggu pengiriman. Sudah 2 hari masih belom di proses. Sampe berapa lama sim jadi nya yah ?,Positif
"Minta tolong pak polisi ini gk bisa verifikasi wajah, gagal terus bacaan nya, mohon dbantu pak makasih",Positif
"Gapapa walau banyak masalah, setidaknya saya sebagai warga negara, senang dengan adanya inovasi dan perkembangan dari kebijakan2 indonesia, jangan hanya mengkritik saja, jadilah warga negara yang pintar, ada masalah ya konsultasiin, cari solusinya, apps belum maksimal, ayo dikasih saran yang membangun, walau tidak gampang untuk indonesia menjadi negara maju, setidaknya ayo jadilah warga negara indonesia yang bijak, ga segala hal harus sempurna, kesalahan bukan akhir, justru malah awal.",Positif
Good,Positif
Lumayan susah verifikasi KTPnya. Akhirnya berhasil juga setelah beberapa kali percobaan. Tips: ikuti langkah pengambilan foto diri dengan cepat dan tepat. Jika sudah masuk di tampilan foto diri dan gagal verifikasi. Lakukan lagi dengan tekan gunakan foto ini.,Positif
Sudah mulai oke...semoga kedepan lebih baik lagi dan lagi....bravo polri,Positif
Kenapa tidak bisa untuk perpanjang SIM B1...,Positif
Ok,Positif
Kenapa ya saya kirim no hp ko kode verifikasinya tidak muncul?,Positif
Mantap sekali dan dinudahkan oleh polri,Positif
Alhamdulillah proses perpanjangan SIM C lancar jaya tinggal menunggu pengiriman SIM nya melalui jasa Pos. Memudahkan...👍👍 Jazakumullahu khair 🙏,Positif
Mantap,Positif
"Semoga aplikasi ny di upgrade terus hingga siap pakai bagi Masyarakat luas, aplikasi ini sangat membatu & menjawab tantangan tekhnologi yg semakin canggih... Bravo polri 🇲🇨",Positif
Bagus untuk pandemi saat ini,Positif
apresiasi tinggi untuk inovasi Korlantas Polri. sipppp,Positif
aplikasi yang saya tunggu,Positif
"Terima kasih sekarang sudah terdaftar, semoga aplikasi bermanfaat bagi masyarakat Indonesia. 👍👍",Positif
Admin nya langsung tanggap. Keren jiwa melayaninya... Salut sukses SIM saya sudah jadi dalam 2 haru sampai kerumah... Tanpa harus ke mana2... Keren bosque.. Pelayanan n inovasi yg sangat memuaskan.... 👍👍👍👍👍,Positif
Sangat membatu,Positif
