,Content,Sentiment,content_clean
145,"Percuma ikutin test teori online, cek kesehatan online, test psikologi online sdh bayar 27500+6500 admin, menurut aplikasi tinggal dateng praktek, smp satpas suruh test kesehatan lg bayar 30rb bayar pnpb 100rb. Test teori lagi, bilang kepetugas sdh ikut test online, dijawab nya (siapa suruh ikut online-online an.) Ngenes jawaban petugas satpas bagian formulir nya begitu.",Negatif,ikutin test teori online cek sehat online test psikologi online sdh bayar admin aplikasi tinggal dateng praktek smp satpas suruh test sehat lg bayar rb bayar pnpb rb test teori bilang tugas sdh test online nya suruh online-online an ngenes tugas satpas formulir nya
146,bagaimna mau daftar sim A?,Negatif,bagaimna daftar sim a
147,"Untuk yang versi terbaru sudah tidak ada kendala. Verifikasi nomor hp, Isi data, upload kelengkapan pendukung, foto sim, tes psikologi semua bisa lancar, hanya tes kesehatan jasmani yang masih perlu pemeriksaan fisik di dokter setempat. Pembuatan tanggal 25 juni dan sim sampai rumah tanggal 1 juli. Saya di jawa tengah dan memilih satpas metro jaya, ternyata bisa.",Positif,versi baru kendala verifikasi nomor hp isi data upload lengkap dukung foto sim tes psikologi lancar tes sehat jasmani periksa fisik dokter buat tanggal juni sim rumah tanggal juli jawa pilih satpas metro jaya
148,Udah ngak usah neko2 perpanjang sim di sini saja.. bravo POLRI,Positif,udah ngak neko panjang sim bravo polri
149,"Sempat hawatir Ndak bisa perpanjang karna daftarnya mepet waktu aktif. Tapi surat cintanya sampai dengan selamat. Terimakasih banyak.... Salam selamat, sehat dan sukses.",Positif,hawatir ndak panjang karna daftar mepet aktif surat cinta selamat terimakasih salam selamat sehat sukses
150,Mantap,Positif,mantap
151,Sangat membantu berdampingan dengan program pemerintah di masa pandemi ini. Perpanjangan SIM cukup di rumah saja semua beres.,Positif,bantu damping program perintah pandemi panjang sim rumah beres
152,Mantap,Positif,mantap
153,pas mau bayar lanjut pembayaran tidak d klik malah ada bacaan sudah berakhir padahal baru smlm,Positif,pas bayar bayar d klik baca smlm
154,Kok aplikasinya gak bisa yaa... nunggu kode OTP gak masuk masuk,Netral,aplikasi gak yaa nunggu kode otp gak masuk masuk
155,"Waktu pembayaran saya sudah berakhir, kalo mau saya lanjut gimana cara nya ya pa/bu? Tolong di respon dong🥺",Positif,bayar kalo gimana nya ya pa bu tolong respon
156,"Aplikasi sangat berguna dan tidak perlu keluar rumah untuk bikin Sim,",Positif,aplikasi guna rumah bikin sim
157,Hanya bisa sampe validasi OTP. Pas bikin pin ga bisa lagi.,Negatif,sampe validasi otp pas bikin pin ga
158,"Kalau bikin aplikasi jgn setengah2,mending dihapus aja.",Negatif,bikin aplikasi jgn setengahmending hapus aja
159,"Gara2 e rikkes dokternya tak ada di tempat,pdhl sy dtg sesuai jam buka.sy diarahkan lgsg ke polres sidoarjo yang hanya bersebrangan dg klinik tempat dokter praktek.saya harus mengurus sesuai prosedur yg ada di polres.bayar kesehatan 50rb.dan bayar psikologi 50rb.padahal saya sudah byr 27rb dan lulus tes psikologi di eppsi. Tapi alhasil simnya langsung jadi meskipun masa berlaku sim masih kurang 19 hari.bintang 4 dulu ya.krn blm tahu pengurusan sim online apakah benar2 tnp datang k satpas/polres.",Positif,gara e rikkes dokter tempatpdhl sy dtg sesuai jam buka sy arah lgsg polres sidoarjo bersebrangan dg klinik dokter praktek saya urus sesuai prosedur yg polres bayar sehat rb dan bayar psikologi rb padahal byr rb lulus tes psikologi eppsi alhasil simnya langsung laku sim hari bintang ya krn blm urus sim online tnp k satpas polres
160,Coba dulu kalo bisa dikasih bintang lagi...,Netral,coba kalo kasih bintang
161,Terima kasih. Sangat membantu.,Positif,terima kasih bantu
162,"Memudahkan dan mudah sekali penggunaannya...tidak ribet..bisa kapan saja dan dimana saja...tinggal rebahan, yg penting ada sinyal internet...jumat malam, isi rikkes...minggu pagi, ngerjain e-ppsi...senin, diproses...selasa konfirmasi...kamis, sudh di tangan...terima kasih Korlantas POLRI...🙏🙏",Positif,mudah mudah guna ribet mana tinggal rebah yg sinyal internet jumat malam isi rikkes minggu pagi ngerjain e-ppsi senin proses selasa konfirmasi kamis sudh tangan terima kasih korlantas polri
163,3 bintang dulu pak/ibu. Udah bayar transfer untuk langkah prosesnya 1x24 jam belum selesai juga pak. Mohon lebih dipercepat. Terimakasih,Netral,bintang udah bayar transfer langkah proses x jam selesai mohon cepat terimakasih
164,"Lumayan membantu sih, apalagi di masa pandemi. Hanya saya untuk pengiriman SIM, kalo bikinnya 2 SIM, ongkirnya jangan dua kali juga dunk, kan bisa bareng kirimnya.",Positif,lumayan bantu sih pandemi kirim sim kalo bikin sim ongkirnya kali dunk bareng kirim
165,"Untuk kestabilan aplikasi sudah cukup bagus,hanya memang yg masih agak susah verified foto,sampe berkali kali baru bisa. Untuk proses verifikasi dari pihak satpas itu yg benar 1-3 hari ato 3-7hari (di aplikasi dan di web berbeda??).Punya saya jg sudah hari ke 3 masih blm diproses pdhl minggu dpn sudah expired. Mungkin untuk area satpas bisa ditambah biar tdk overload dan proses tdk memakan waktu lama.",Positif,stabil aplikasi bagushanya yg susah verified fotosampe kali kali proses verifikasi satpas yg ato aplikasi web beda jg blm proses pdhl minggu dpn expired area satpas tambah biar tdk overload proses tdk makan
166,Mantap,Positif,mantap
167,"Tgl 29 Juni kmrn sy menggunakan aplikasi ini untuk perpanjang SIM. Krn desa sblh 74 warga terkonfirmasi covid, saya memilih perpanjang via online. Hasilnya, cukup mengecewakan. Aplikasi e-rikkes sama sekali tidak terpakai, karena kir pake aplikasi simpelpol (Jateng). Padahal e-rikkes merekomendasikan dokter yg sama dengan simpelpol, tp e-rikkes tidak berlaku di tmpt saya. Pun dgn eppsi SIM, sdh lulus tes dan bayar, tp msh byr lg 50rb di tmpt test. Membagongkan...😁😁😁",Netral,tgl juni kmrn sy aplikasi panjang sim krn desa sblh warga konfirmasi covid pilih panjang via online hasil kecewa aplikasi e-rikkes pakai kir pake aplikasi simpelpol jateng e-rikkes rekomendasi dokter yg simpelpol tp e-rikkes laku tmpt dgn eppsi sim sdh lulus tes bayar tp msh byr lg rb tmpt test bagong
168,Top,Positif,top
169,"Ternyata dlm aplikasi belom ada SIM hilang. Saya puny SIM hilang di curi maling dompetny. Saya mau mengurus nya lagi tapi SIM saya ini daerah Maumere, Flores, NTT. Posisi saat ini saya bekerja di jakarta. Saya pun ga ada foto copy SIM nya. Padahal baru perpanjang setahun lalu 2020 saat awal2 covid. Apakah bisa dibantu pak polisi kasus saya saat ini. Apakah msh tetap bisa diurus di Jakarta SIM hilang tanpa ada foto copy nya shingga saya jg ga Taw nomor SIM saya . Mohon bantuannya pak polisi",Netral,dlm aplikasi bom sim hilang puny sim hilang curi maling dompetny urus nya sim daerah maumere flores ntt posisi jakarta ga foto copy sim nya panjang tahun covid bantu polisi msh urus jakarta sim hilang foto copy nya shingga jg ga taw nomor sim mohon bantu polisi
170,"Saya verifikasi ktp, bagian foto muka kok gagal terus padahal udah ngikutin intruksi yg ada. Mohon bantuannya",Negatif,verifikasi ktp foto muka gagal udah ngikutin intruksi yg mohon bantu
171,Mantap duduk manis sim pun mendarat dengan selamat 👍👍👍👍👍,Positif,mantap duduk manis sim darat selamat
172,"Saran saya bagi yg mau mencoba aplikasi ini pastikan masa berlaku sim masih LAMA. Saya sudah coba selesai semua sampai pada tahap pembayaran dan sudah selesai.. Namun di aplikasi masih tahap pembayaran terus.. Sudah 3 hari, tp masih saja seperti itu.. Dan. Tidak ada nomor CS yg bisa dihubungi untuk Fast Respon.. Sehingga bingung mau menghubungi siapa.. Apakah perpanjangan SIM gagal atau berhasil?? Tau dehh..",Negatif,saran yg coba aplikasi pasti laku sim coba selesai tahap bayar selesai aplikasi tahap bayar tp nomor cs yg hubung fast respon bingung hubung panjang sim gagal hasil tau dehh
173,"Saya kesulitan melanjutkan tahap pengisian wilayah Polda, untuk mengetik JABAR hasilnya masih loading, tidak ada pilihan sehingga tidak dapat melanjutkan tahap berikutnya.",Netral,sulit lanjut tahap isi wilayah polda etik jabar hasil loading pilih lanjut tahap
174,"Udh bayar untuk tes, eeh wilayah polda jabar tdk ada, bgaimana ini solusinya?",Negatif,udh bayar tes eeh wilayah polda jabar tdk bgaimana solusi
175,"Sangat membantu, apalagi di era pandemi seperti ini",Positif,bantu era pandemi
176,Mau tanya untuk perpanjangan sim dengan KTP bekasi kota dan plat daerah jawa tengah apakh bisa lewat aplikasi ini? Atau harus booking melalui mpp kota bekasi dan dateng langsung?,Positif,panjang sim ktp bekas kota plat daerah jawa apakh aplikasi booking mpp kota bekas dateng langsung
177,Alhamdulillah lancar dr proses mendaftar sampai sim diterima,Positif,alhamdulillah lancar dr proses daftar sim terima
178,"STOP MONOPOLI!! PERMUDAHLAH!! 1. PILIHAN PEMBAYARAN 2. PILIHAN PENGIRIMAN KURIR SOSIALISASIKAN SEGERA PADA SEMUA ANGGOTA PETUGAS SATPAS SIM INI SUDAH NASIONAL (ONLINE) SEKARANG KENAPA JIKA ADA KENDALA ONLINE JALUR OFFLINE TETAP PAKAI MANUAL (PRINT) PADAHAL PSIKOLOGI, KESEHATAN SUDAH BERHASIL DATA SUDAH ADA SEMUA PADA APLIKASI!! PETUGAS SATPAS NGOTOT PAKAI MANUAL!!",Negatif,stop monopoli mudah pilih bayar pilih kirim kurir sosialisasi anggota tugas satpas sim nasional online kendala online jalur offline pakai manual print psikologi sehat hasil data aplikasi tugas satpas ngotot pakai manual
179,"Saya udah bisa dapat kode pembayaran batasnya 24 jam, tp ini baru 6 jam giliran mau bayar udah ga bisa tulisannya batas pembayaran anda telah berakhir, mksdnya gimana yah? Tolong dong di bls nanti kalau berhasil saya ubah jadi bintang 5 + ulasan bagus",Netral,udah kode bayar batas jam tp jam gilir bayar udah ga tulis batas bayar mksdnya gimana yah tolong bls hasil ubah bintang ulas bagus
180,"Dari awal instal aplikasi sampai hari ini, verifikasi E-KTP selalu gagal. Padahal jaringan Full. Apakah sistemnya yg selalu full juga",Netral,instal aplikasi verifikasi e-ktp gagal jaring full sistem yg full
181,Saya sudah mengunduk app ini dan mencoba perpanjang sim. Data sudah saya lengkapi semua termasuk untuk E-Rikkes dan EPPSI sudah saya lakukan. Dan mengisi seluruh data. Tapi pada proses pembayaran hanya blank saja. Apakah ada solusinya agar bisa lanjut?,Positif,mengunduk app coba panjang sim data lengkap e-rikkes eppsi laku isi data proses bayar blank solusi
182,Bagus sekali.......jadi lebih mudah dan cepat 👍👍👍👍👍,Positif,bagus mudah cepat
183,Sangat susah sekali verifikasi KTPnya sudah coba berapa kali gak bisa,Negatif,susah verifikasi ktpnya coba kali gak
184,luar biasa mantap sangat-sangat mempermudah proses. seluruh proses di lakukan online 🙏🙏 mantapppp Korlantas polri,Positif,mantap sangat mudah proses proses laku online mantappp korlantas polri
185,Lokasi satpas kenapa tidak bisa dipilih ya,Positif,lokasi satpas pilih ya
186,"Hapus aja, ga guna, verifikasi ektp aja ga bisa2",Negatif,hapus aja ga verifikasi ektp aja ga
187,Susah banget verifikasi ktp,Negatif,susah banget verifikasi ktp
188,kenapa verivikasi e-ktp gagal terus ya pak. padahal sudah melengkapi semua data,Positif,verivikasi e-ktp gagal ya lengkap data
189,"Gak ribet dan mudah sekali..cuma saran saya ,untuk pengambilan perpanjangan sim online,di kasih plang biar orang tau, saya sudah masuk kantor, gak tau nya malah di luar (depan parkiran cewek)..",Positif,gak ribet mudah saran ambil panjang sim onlinedi kasih plang biar orang tau masuk kantor gak tau nya parkir cewek
190,"Sudah mengikuti saran, mengganti ke Polda metro jaya. Sudah submit dan bayar, status saat ini masih dibayar. Terima kasih Note : edit mengikut saran",Netral,ikut saran ganti polda metro jaya submit bayar status bayar terima kasih note edit ikut saran
191,"Kepada pemilik aplikator, Saya sangat berharap besar agar aplikasi ini dapat segera dikembangkan untuk memudahkan masyarakat mengurus dokumen berkendara dijalan, karena untuk menjadi pelopor keselamatan dijalan ditengah pandemi seperti ini sangatlah membantu. Terima kasih,, Keep feel safety on the road with PRESISI",Positif,milik aplikator harap aplikasi kembang mudah masyarakat urus dokumen kendara jalan pelopor selamat jalan tengah pandemi bantu terima kasih keep feel safety on the road with presisi
192,Sangat membantu.... Digital korlantas Yes...,Positif,bantu digital korlantas yes
193,Cukup Memuaskan,Positif,muas
194,Mempermudah emak2 yg repot,Positif,mudah emak yg repot
195,Belum lengkap tapi sudah dibuka,Negatif,lengkap buka
196,Good aplikasi ditunggu aja prosesnya,Positif,good aplikasi tunggu aja proses
197,"Izin admin kalau masa berlaku SIM habis, apakah bisa di perpanjang, apa bikin baru y",Positif,izin admin laku sim habis panjang bikin y
198,"Min, data sudah saya isi semua untuk perpanjangan SIM C, tapi ketika disimpan kok keluar ""terjadi kesalahan""? Tks.",Positif,min data isi panjang sim c simpan salah tks
199,Sayangnya tdk semua Polda masuk daftar,Netral,sayang tdk polda masuk daftar
200,Sipp👍👍,Positif,sipp
201,"Bisa digunakan untuk perpanjangan SIM. SIM saya sudah saya terima. Lebih baik menggunakan aplikasi begini sehingga mengurangi calo. Biayanya jg murah. Saya berlokasi di Bekasi, tidak ada satpas. Tp itu tidak masalah, krn kita bs pilih satpas mana saja dan SIM akan dicetak serta dikirim via pos dr satpas tersebut. Prosesnya jg cepat sekali. Hari ini semua tes lengkap, data lengkap, bsknya diproses. Lusa SIM dikirim. Tolong segera dibuka jg layanan pembuatan SIM barunya. Sukses yaa",Positif,panjang sim sim terima aplikasi kurang calo biaya jg murah lokasi bekas satpas tp krn bs pilih satpas sim cetak kirim via pos dr satpas proses jg cepat tes lengkap data lengkap bsknya proses lusa sim kirim tolong buka jg layan buat sim baru sukses yaa
202,"Permisi knp gak masuk² ya Sy sdh masukan pin tp tidak ada lanjutan lg, mohon pencerahanya",Netral,permisi knp gak masuk ya sy sdh masuk pin tp lanjut lg mohon pencerahanya
203,"Sudah bagus untuk daerah sekitar ibu kota,mohon di perluas",Positif,bagus daerah kotamohon luas
204,Apakaj hasil psikologi online bisa digunakan untuk memperpanjang sim secara offline? Soalnya ditempat saya untuk lanjuu ke tahap kesehaan belum bisa padahal diaplikasi tertera lokasi yg dapau dipilih. gimana ya?,Netral,apakaj hasil psikologi online panjang sim offline tempat lanjuu tahap kesehaan aplikasi tera lokasi yg dapau pilih gimana ya
205,"Dari sisi pemanfaat teknologi memang sangat bagus dan bermanfaat, tapi yang saya ingin tanyakan kapan menu pembuatan sim baru bisa di akses, apalagi di era pandemi ini untuk membuat sim jika harus datang langsung ke polres agak mengkhawatirkan, apalagi saya sudah 2 kali terkena covid, jadi mohon infonya kapan menu membuat sim baru akan di buka? terima kasih",Positif,sisi manfaat teknologi bagus manfaat menu buat sim akses era pandemi sim langsung polres khawatir kali kena covid mohon info menu sim buka terima kasih
206,"Terimakasih sebelumnya Pa admin, Alhamdulillah SIM C saya sudah di perpanjang barusan. Saya mau bertanya Pa soal alamat, alamat SIM baru bisa direvisi tidak ya soalnya alamat srkng sama kaya alamat SIM yang lama!!! Dan tolong juga aplikasinya kembangin lagi, biar nanti kalo ada masalah dari nama contohnya itu bisa di revisi/diganti. Aps ini harus ada chatingannya juga biar kita bisa saling komunikasi apa bila kalo ada kendala dri pengguna aps ini. Terimakasih Pa Admin.",Positif,terimakasih pa admin alhamdulillah sim c panjang barusan pa alamat alamat sim revisi ya alamat srkng kaya alamat sim tolong aplikasi kembangin biar kalo nama contoh revisi ganti aps chatingannya biar komunikasi kalo kendala dri guna aps terimakasih pa admin
207,Kren,Positif,kren
208,pa admin apakah yg di aplikasi erikkes kita harus tetap dteng ke dokternya ya,Netral,pa admin yg aplikasi erikkes dteng dokter ya
209,"Saat mau unggah foto selalu keluar sendiri,",Positif,unggah foto
210,"Tadi saya sdh coba daftar onine tpi gak bisa, kayak gak ada respon padahal datanya sdh di isi semua tpi tdk ada keterangan di transaksinya. Saya juga mau tnya untuk perpanjangan sim c apakah biayanya 180 atau hanya 75? Terimaksih",Netral,sdh coba daftar onine tpi gak kayak gak respon data sdh isi tpi tdk terang transaksi tnya panjang sim c biaya terimaksih
211,apakah bisa sim c mati 2tahun bisa di perpanjang.??,Positif,sim c mati panjang
212,Alhamdullilah akhirnya bisa perpanjang SIM online,Positif,alhamdullilah panjang sim online
213,bagaimana menghapus history transaksi. kemarin saya ditolak dan mau perbaikan data. terkendala di histori transaksi yang tidak bisa di hapus. apakah bisa mengajukan perpanjanga kembali setelah di tolak?sim sudah di terima,Positif,hapus history transaksi kemarin tolak baik data kendala histori transaksi hapus aju perpanjanga tolak sim terima
214,Min mau tanya persyaratan apa saja kalau mau perpanjanh sim c tapi masa habisnya tanggal 1 maret 2022 cuma pingin tau syaratnya aja bales ya,Positif,min syarat perpanjanh sim c habis tanggal maret pingin tau syarat aja bales ya
215,"Fitur buat SIM online nya blm bisa berfungsi, mohon untuk update berikutnya mungkin bisa diperbaiki biar tidak hanya sekedar simbol tak berfungsi....",Negatif,fitur sim online nya blm fungsi mohon update baik biar dar simbol fungsi
216,Sangat bermanfaat,Positif,manfaat
217,Apakah bisa mengajukan permohonan SIM yg hilang ?,Positif,aju mohon sim yg hilang
218,Cukup bagus,Positif,bagus
219,Mantap 👍👍👍,Positif,mantap
220,Min proses perpanjangan SIM nya kira2 brpa lama ya? Soalnya sya sudah melakukan pembayaran tapi di menu transaksi sampai skrg blum ada perubahan?,Positif,min proses panjang sim nya brpa ya sya bayar menu transaksi skrg blum ubah
221,izin bertanya admin apabila virtual account no rekening udah kadaluwarsa saya bisa meminta yang baru atau ada cara lain,Netral,izin admin virtual account no rekening udah kadaluwarsa
222,Aneh verifikasi wajah gagal bae,Negatif,aneh verifikasi wajah gagal bae
223,Sim saya telah lewat masa aktifnya karena korona tahun lalu apakah bisa perpanjang,Positif,sim aktif korona panjang
224,Sangat membantu.. terimakasih,Positif,bantu terimakasih
225,"Awalnya lumayan susah juga c,terus harus instal apk juga buat tes kesehatan dan tes psikologi,tapi alhamdulillah selesai juga,jadi sekarang perpanjang SIM udah lebih mudah dan yg pasti cukup DIRUMAH AJA. Semoga secepatnya wilayah Satpas bisa diperluas lagi biar makin mudah,Terima kasih",Positif,lumayan susah cterus instal apk tes sehat tes psikologitapi alhamdulillah selesai jugajadi panjang sim udah mudah yg rumah aja moga cepat wilayah satpas luas biar mudahterima kasih
226,Tinggal masukin data rikkes jasmani aja gak bisa dari tadi sore,Negatif,tinggal masukin data rikkes jasmani aja gak sore
227,"min, knp ini lokasi satpas di wilayah saya ngk terupdate?jd tdk bisa dilengkapi dokumennya..tolong infonya",Netral,min knp lokasi satpas wilayah ngk terupdate jd tdk lengkap dokumen tolong info
228,Puas...saya tidak usah antri tinggal tunggu di rumah,Positif,puas antri tinggal tunggu rumah
229,"Mau nanya Mau buat pendaftaran SIM, tpi dibuat layanannya dalam proses pengembangan. Kenapa ya?",Netral,nanya daftar sim tpi layan proses kembang ya
230,Polri selalu mengikuti perkembangan teknologi demi membantu rakyat indonesia yg membutuhkan.bravo polri,Positif,polri ikut kembang teknologi bantu rakyat indonesia yg butuh bravo polri
231,Mantaaap,Positif,mantaaap
232,Salam NKRI saya dari kecamatan Tamansari kota Tasik Malaya Untuk pilihan kec. Taman sari belum tersedia .... Akhirnya di tolak juga... Terus g mana nih ke oplen lagi ???,Netral,salam nkri camat tamansari kota tasik malaya pilih kec taman sari sedia tolak g nih oplen
233,Bolehkah bertanya saya perpanjang SIM senin malam kira kira jadinya tanggal berapa dan hari apa ya ?,Netral,panjang sim senin malam tanggal ya
234,jos pelayanan mudah cepat,Positif,jos layan mudah cepat
235,Mantap,Positif,mantap
236,Mantap! Recommended..,Positif,mantap recommended
237,"Membuat aplikasi separoh hati...hanya membuat ini aja gak bisa kelar....malu kita IT kok buat aplikasi tp isi belum tersedia semua aksesnya.... Mohon diperbaiki aja,,,kami sudah serius input data identitas diri kami tp eh...malah aplikasi bayangan. Semoga segera bisa di gunakan aplikasi ini,,,masyarakat bertanya-tanya",Negatif,aplikasi separoh hati aja gak kelar malu it aplikasi tp isi sedia akses mohon baik ajakami serius input data identitas tp eh aplikasi bayang moga aplikasi inimasyarakat
238,Bagus mempermudah,Positif,bagus mudah
239,bisa dicoba cuma kesulitan saat sudah masuk ke step lokasi satpas...maksudnya apakah trus kenapa harus masuk keawal lagi nggih input data ..padahal sdh lengkap..bagaimana caranya agar tdk lewat step awal langsung ke step lanjutan.... aplikasi ini bila diisi belom selsai akan bertahan sampai berapa hari kah..,Netral,coba sulit masuk step lokasi satpas maksud trus masuk awal nggih input data sdh lengkap tdk step langsung step lanjut aplikasi isi bom selsai tahan kah
240,"Proses cepat, aman dan amanah 😍😍😍",Positif,proses cepat aman amanah
241,"Sangat membantu....cocok untuk kaum rebahan, dan super sibuk...",Positif,bantu cocok kaum rebah super sibuk
242,"Sudah download serta bayar dan melaksanakan test psikologi, dan trnyta harus datang ke Polres Kediri buat test kesehatan, dikira full daring Saran saya, semoga lebih baik dan bisa beneran diakses online smuanya",Negatif,download bayar laksana test psikologi trnyta polres diri test sehat full daring saran moga beneran akses online smuanya
243,Mau nanya min. Saya sudah daftar untuk memperpanjang tgl 28 juni 2021 sedangkan habisnya tanggal 3 juli. Sejauh ini masih dalam proses pembayaran belum ke proses selanjutnya. Kira² nunggu berapa hari ya untuk di proses ke tahap selanjutnya?,Positif,nanya min daftar panjang tgl juni habis tanggal juli proses bayar proses nunggu ya proses tahap
244,Lebih ditingkatkan lagi.agar semua layanan yang sudah terdaftar diaplikasi bisa berfungsi.dan menghemat waktu.,Positif,tingkat lagi agar layan daftar aplikasi fungsi dan hemat
245,"Apakah kalau kartu SIM saya sudah mati 5 bulan yang lalu, bisa perpanjang secara online di aplikasi ini?",Negatif,kartu sim mati panjang online aplikasi
246,"Sangat bagus dan membantu,sekarang perpanjang SIM gak perlu antri di satpas,cukup online dari rumah dan SIM akan di kirim sampai alamat kita,selanjutnya saya berharap untuk perpanjangan STNK juga bisa online,Terimakasih",Positif,bagus membantusekarang panjang sim gak antri satpascukup online rumah sim kirim alamat kitaselanjutnya harap panjang stnk onlineterimakasih
247,Mudah nyaman nyampek rumah,Positif,mudah nyaman nyampek rumah
248,Saya mau tanya kalo SIM c bagian pekerjaan nya bisa di ganti engga,Positif,kalo sim c kerja nya ganti engga
249,"Bagus,cuma untuk pengaduan belum bs pki aplikasi",Positif,baguscuma adu bs pki aplikasi
250,Saya mau tanya pak klo ktp saya jakarta barat tapi saya tinggal di bekasi apah ikut tesnya tetap di jakarta atau di bekasi pun bisa terima kasih pak,Positif,klo ktp jakarta barat tinggal bekas apah tes jakarta bekas terima kasih
251,Maaf mau tanya admin...gini kalau bulan kelahirannya salah mau di ganti boleh gak ya? soalnya saya lahir bulan November tapi dalam pembuatan SIM di tulis bulan Oktober terimakasih,Positif,maaf admin gin lahir salah ganti gak ya lahir november buat sim tulis oktober terimakasih
252,Lebih mudah dan dimudahkan,Positif,mudah mudah
253,"Mantap sekali. Tanpa ribet antri, SIM diantar sampai rumah dengan selamat.. ❤",Positif,mantap ribet antri sim antar rumah selamat
254,"TERIMAKASIH SIM saya sudah sampai,, aplikasi ini benar2 sangat membantu apalagi dimasa pandemi, sama sekali ga perlu keluar rumah utk perpanjangan sim. semoga kedepannya jg bisa mengurus utk membuat SIM/STNK. Saran utk yg mau menggunakan app ini, ketika nti memilih satpas pilih antara mabes,depok/jatim krn baru 3 satpas itu yang terintegrasi. download app erikkes utk kesehatan pilih faskes yg terintegrasi, sy dari daerah krn faskes d tempat sy tdk terintegrasi jd saya pilih Jakarta.",Positif,terimakasih sim aplikasi bantu masa pandemi ga rumah utk panjang sim moga depan jg urus utk sim stnk saran utk yg app nti pilih satpas pilih mabesdepok jatim krn satpas integrasi download app erikkes utk sehat pilih faskes yg integrasi sy daerah krn faskes d sy tdk integrasi jd pilih jakarta
255,Sim lampung apa bisa perpanjangnya ditangerang,Positif,sim lampung panjang ditangerang
256,"Min, sim sy habis masa berlaku tgl 2 juli bsk. Sedangkan sy perpanjang sim dr tgl 27 juni kemarin statusnya masih dibayar. Skrg sdh tanggal 30 juni. Apa ada kemungkinan batal tdk ya? Takutnya mengandalkan sim online, trus batal, masa berlaku habis dan harus bikin ulang. Mohon pencerahannya min.",Positif,min sim sy habis laku tgl juli bsk sy panjang sim dr tgl juni kemarin status bayar skrg sdh tanggal juni batal tdk ya takut andal sim online trus batal laku habis bikin ulang mohon cerah min
257,Bagus cepat dan mudah,Positif,bagus cepat mudah
258,"Kenapa saya ga bisa deftar SIM online nya,semua udah terverifikasi termasuk e-KTP saya.tapi kenapa layanan nya belum tersedia pas saya mau mendaftar. Tolong dong info nya🙏",Netral,ga deftar sim online nyasemua udah verifikasi e-ktp saya tapi layan nya sedia pas daftar tolong info nya
259,Kenapa layanan pendaftaran sim belum tersedia ya,Negatif,layan daftar sim sedia ya
260,Lalu bagaimana yg dilakukan mohon penjelasan y sy hrs gmn untuk bs memperpanjang sim sy?,Positif,yg mohon jelas y sy hrs gmn bs panjang sim sy
261,"hallo, saya mau tanya cara ubah profil bagaimana ya min? saya klik di ubah profil tp kok mau ganti email tidak bisa ??? sebab email yg saya daftarkan ada yg kurang penulisannya.. mohon dijawab terimakasih",Positif,hallo ubah profil ya min klik ubah profil tp ganti email email yg daftar yg tulis mohon terimakasih
262,Kapan ada fitur Pembuatan SIM baru ?,Positif,fitur buat sim
263,"Susah verifikasi e ktp sudah di tempat terang benderang sesuai petunjuk sudah di lakukan,tetapi gagal adakah solusinya???????????😭😭😭😭",Positif,susah verifikasi e ktp terang benderang sesuai tunjuk lakukantetapi gagal ada solusi
264,Terima kasih atas pelayana sim online semogo trus berkembang,Positif,terima kasih pelayana sim online semogo trus kembang
265,"untuk isian data wilayah polda apa ya? saya dari Bandung, disini pilihannya metro jaya, jatim dan bali. bandung atau jabar tidak ada?",Netral,isi data wilayah polda ya bandung pilih metro jaya jatim bal bandung jabar
266,Mempermudah pembuatan SIM baru maupun perpanjangan. Salut untuk inovasi dan progres progres kinerja Polri.,Positif,mudah buat sim panjang salut inovasi progres progres kerja polri
267,Maaf pak izin bertanya sy dah daftar trs dah masukkan data semua trs blm da keterangan lg kira2 nunggu konfirmasi lg p gmn y pak maaf y ganggu trm ksh,Positif,maaf izin sy dah daftar trs dah masuk data trs blm da terang lg nunggu konfirmasi lg p gmn y maaf y ganggu trm ksh
268,"Ijin Bertanya, saya Sdh lulus eppsi Dan Sdh lulus eRikkes, Tp satpas kota Bogor nya tdk Ada Di pilihan jd saya Harus Bagaimana? Kalau saya tetap ke kantor satpas kota bogor Trus hasil yg Tadi buat apa? Lagi pandemi Ngeri kemana mana pak,,tolong di Bantu agar Ada pilihan satpas kota bogor nya,,,",Positif,ijin sdh lulus eppsi sdh lulus erikkes tp satpas kota bogor nya tdk pilih jd kantor satpas kota bogor trus hasil yg pandemi ngeri mana paktolong bantu pilih satpas kota bogor nya
269,dlm kondisi seprti skrg sngt membntu,Positif,dlm kondisi seprti skrg sngt membntu
270,Sangat membantu,Positif,bantu
271,"Bagus, cepat , masukan dipermudah lagi sistem nya,,,",Positif,bagus cepat masuk mudah sistem nya
272,Bagaimana cara daftarnya min,Negatif,daftar min
