,content,sentiment,content_preprocessed
496,"Alhamdulilah, setelah mencoba kurleb seminggu, akhirnya simnya jadi juga. Semoga aplikasinya terus bertahan dan semakin berkembang menjadi lebih baik.",Positif,alhamdulilah coba kurleb minggu simnya moga aplikasi tahan kembang
497,MEMUASKAN. SEMOGA KETERSEDIAAN PELAYANAN CEPAT DI RILIS.,Positif,muas moga sedia layan cepat rilis
498,"Sangat mudah dan bermanfaat,kebetulan malam j.11 isi data dll jadi lancar tdk ada kendala,SIM jg sudah sampai sesuai alamat. Bravo POLRI",Positif,mudah manfaat malam isi data dll lancar kendala sim sesuai alamat bravo polri
499,Praktis,Positif,praktis
500,"Alhamdulillah, sangat membantu, baru kasih 4 *, notifikasi di email blm terkirim, kalau bisa disatukan aja dgn aplikasi e.rikkes dan ePpsi SIM nya,",Positif,alhamdulillah bantu kasih notifikasi email kirim satu aplikasi e rikkes eppsi sim
501,Diterima dengan baik mantull joss,Positif,terima mantull joss
502,"Saya hapus bintang 1 menjadi bintang 5 dengan catatan: Pengajuan 18 April, diproses & dikirim Pos 22 April dan diterima 23 April. Alamat di kartu ada sedikit typo meski saya input sudah benar. Semoga ke depan ada perbaikan, seperti e-Rikkes dll. lewat satu aplikasi saja. Lalu akses kamera jangan lewat setting Chrome karena menyulitkan diri pengguna. Terima kasih POLRI.",Positif,hapus bintang bintang catat aju april proses kirim pos april terima april alamat kartu typo input moga baik e-rikkes dll aplikasi akses kamera setting chrome sulit guna terima kasih polri
503,"Alhamdulillah,,, akhirnya SIM yang di tunggu telah di Terima dari pak pos,,, bravo polri,,, semoga kedepannya lebih baik lagi 👍👍👍",Positif,alhamdulillah sim tunggu terima pos bravo polri moga depan
504,Cukup membantu untuk perpanjangan SIM online. Prosesnya juga lumayan dan SIM sampai dirumah dengan selamat... terus tingkatkan kualitas aplikasinya...,Positif,bantu panjang sim online proses lumayan sim rumah selamat tingkat kualitas aplikasi
505,Mana ini tindakannya katanya 1/3hari kerja ini sudah pas hari ke 3 ga ada kbr beritanya ...bikin SIM se umur hidup Kya KTP jadi ga bolak balik ga jelas...utamakan duit si ya...mantap dah...,Positif,tindak kerja pas kbr berita bikin sim umur hidup kaya ktp bolak utama duit sih mantap deh
506,Proses gampang banget. Ga ribet. Tinggal duduk manis sim sampai dengan selamat,Positif,proses gampang banget ribet tinggal duduk manis sim selamat
507,Akhirnya bisa online.,Positif,online
508,"Mantap bener, sekali pengajuan SIM A & C langsung dikirimkan. Tp ada masukan untuk alamat yg typo, dari seharusnya 61 menjadi 51.. Bagaimana cara merubahnya? Terima Kasih",Positif,mantap aju sim a sih langsung kirim masuk alamat typo rubah terima kasih
509,Kode otp kok ga masuk2 ya?,Positif,kode otp masuk
510,Good,Positif,good
511,Selamat siang... Saya mau menanyakan .. Semua tahap sdh saya selesaikan sampai pembayaran..... Tp proses pencetakan belum selesai padahal sdh 2 hari ini....... Jd baru di tahap proses saja... Itu pun hanya 40%.tk,Positif,selamat siang tahap selesai bayar proses cetak selesai tahap proses
512,Alhamdulillah sim sudah di proses dan sudah diterbitkan dalam waktu 2 hari tinggal menunggu proses pengiriman. Buat temen2 yg penting ikutin semua prosedur nya dengan benar insyaallah sim bakalan sukses di proses,Positif,alhamdulillah sim proses terbit tinggal tunggu proses kirim teman ikut prosedur insyaallah sim sukses proses
513,"Terima kasih sim sampai dengan keadaan baik, dari ngurus sampai dikirim di rumah jarak 1 hari dan cepat sekali (Satpas Jatim). Terima kasih POLRI untuk inovasinya. Ditunggu inovasi selanjutnya",Positif,terima kasih sim urus kirim rumah jarak cepat satpas jatim terima kasih polri inovasi tunggu inovasi
514,"Sy sdkt berbagi pengalaman pribadi perpanjang sim online. Sblmnya siapkan syarat2 yg diberitahukan. Sy daftar & melakukan pembayaran tgl 17 April, diproses tgl 20. Proses 1-3 hari kerja setelah kita melakukan pembayaran & tergantung antrian. Saya trima sim nya tgl 23 April. Oia... Saya domisili di Kab Barito Kuala, kalsel. Krn pd saat sy daftar prokas daerah saya blm ada jadi sy coba pake prokas Metro Jaya, pikir saya kan ini online juga bisa prokas mana saja proses. Demikian... Terimakasih",Positif,bagi alam pribadi panjang sim online siap syarat diberitahukan daftar bayar tanggal april proses tanggal proses kerja bayar gantung antri terima sim tanggal april oia domisili kab barito kuala kalsel daftar prokas daerah coba pakai prokas metro jaya pikir online prokas proses terimakasih
515,"Respon cepat dari pengembang terima kasih, sdh bisa daftar n akun sdh aktif tetapi masih kesulitan verifikasi KTP, help me",Positif,respon cepat kembang terima kasih daftar n akun aktif sulit verifikasi ktp help me
516,Saya ganti bintangnya jadi 5. Ternyata bebas milih Satpasnya. Salut buat program pak Kapolri,Positif,ganti bintang bebas pilih satpasnya salut program kapolri
517,"APLIKASI INI SUNGGUH LUAR BIASA, CIKAL BAKAL KAPOLRI BARU SERTA JAJARANNYA SUNGGUH HEBAT. SAYA SUDAH PERPANJANG SIM, MESKI SAYA DI DAERAH TERTINGGAL NTT, JUSTRU KALAU DATA KITA TERVERIFIKASI DENGAN BENAR MAKA KITA HANYA MILIH SIM TERBIT DIKIRIM DARI POLDA METRO JAYA JAKARTA. POKOKNYA OKE PUNYA NASIONAL. . . Saran SAYA KE DEPAN POLRI HARUS SERBA AKSES TEKNOLOGI SECARA NASIONAL, SINGKIRKAN BIROKRASI MERESEHKAN MASYARAKAT. DAN SEMAKIN AGRESIF YA 🤩🤩🤩",Positif,aplikasi sungguh cikal kapolri jajar sungguh hebat panjang sim daerah tinggal ntt data verifikasi pilih sim terbit kirim polda metro jaya jakarta pokok oke nasional saran polri serba akses teknologi nasional singkir birokrasi meresehkan masyarakat agresif 
518,Bagus,Positif,bagus
519,Verifikasi KTP masih belum bisa,Positif,verifikasi ktp
520,Proses lancar cuma belum semua daerah ada lokasi satpasnya apps sangat membantu moga ke depan lebih maju apps SIM nya,Positif,proses lancar daerah lokasi satpasnya apps bantu moga maju apps sim
521,Sabtu kemarin mulai ngurus perpanjangan sim A dan C sambil rebahan dikasur. Kamis keduanya sudah diterima. Proses sangat mudah dan cepat. Tidak perlu ke satpas,Positif,sabtu kemarin urus panjang sim a sih rebah kasur kamis terima proses mudah cepat satpas
522,"Untuk kolom satpas daerah surabaya wilayah jatim tidak ada, pilihannya hanya polres jombang, sudah saya pilih mau tidak mau dan sudah saya lakukan pembayaran untuk perpanjangan sim A, semoga bisa diproses dan di kirim ke alamat pemohon yg sebenarnya , karena app ini masih perlu banyak perbaikan. Pengalaman saya, Untuk yg tidak bisa login dan verivikasi, coba pakai hp yg berbeda. Sudah saya coba dan berhasil.",Positif,kolom satpas daerah surabaya wilayah jatim pilih polres jombang pilih laku bayar panjang sim a moga proses kirim alamat mohon app baik alam login verivikasi coba pakai hp beda coba hasil
523,"Udah bisa kepakai, data update semua.. Tgl nnti perpanjangan.. Mantaappp",Positif,pakai data update tanggal panjang mantaappp
524,Semoga sesuai yang di harapkan masyarakat di permudah dalam prosesnya,Positif,moga sesuai harap masyarakat mudah proses
525,"Alhamdulillah, Harap bersabar dan ikutin aja sesuai di Aplikasi jika hang atau bug harap maklum. bisa di relog ulang kembali sayapun gitu sampe akhir nya berhasil. dan sim di kirim ke rumah. Alhamdulillah Bravo Polri Presisi ⭐⭐⭐⭐⭐",Positif,alhamdulillah harap sabar ikut sesuai aplikasi hang bug harap maklum relog ulang saya hasil sim kirim rumah alhamdulillah bravo polri presisi 
526,"alhamdulillah sudah semakin baik aplikasinya. sudah bisa memasukkan data, tinggal dilengkapi fitur fitur yg lain",Positif,alhamdulillah aplikasi masuk data tinggal lengkap fitur fitur
527,"Alhamdulillah saya sudah berhasil perpanjang SIM dengan aplikasi ini, sungguh sangat keren aplikasi ini, perpanjang SIM udah kaya belanja online aja, 100% cuma dari rumah aja. Semoga kedepannya bisa lebih di sosialisasikan lagi cara menggunakan aplikasi nya, karena masih sangat banyak yang belum paham hingga akhirnya memberikan nilai yang jelek pada aplikasinya.",Positif,alhamdulillah hasil panjang sim aplikasi sungguh keren aplikasi panjang sim kayak belanja online rumah moga depan sosialisasi aplikasi paham nilai jelek aplikasi
528,Tanya dong polda jateng nya belum ada ya?,Positif,polda jateng
529,Semoga lancar,Positif,moga lancar
530,Sim saya sudah dikirim sampai rumah terimakasih,Positif,sim kirim rumah terimakasih
531,"Alhamdulillah 1 minggu setelah download, SIM saya sudah sampai di tangan. Prosesnya mudah dan nyaman banget. Saya sangat apresiasi pelayanan yang diberikan Kepolisian Republik Indonesia, khususnya Korlantas Polri. Dan untuk Pak Kapolri baru, saya sampaikan salam hangat semoga sehat selalu. Kapan-kapan kalo ada waktu, pingin nraktir nasi serbu buat sampean.",Positif,alhamdulillah minggu download sim tangan proses mudah nyaman banget apresiasi layan polisi republik indonesia korlantas polri kapolri salam hangat moga sehat kapan kalo pengin traktir nasi serbu sampean
533,"Alhamdulillah saya perpanjangan SIM C saya melalui online pakai aplikasi ini berhasil serta sdh dikirim ke rumah dan simpel skali gk perlu datang ke satpas cukup melalui HP, biarpun didata online satpas polres surabaya gk ada yg ada cm polres jombang untuk jatim tp tetep bisa diproses dan berhasil makasih untuk Polri semoga sukses selalu.",Positif,alhamdulillah panjang sim sih online pakai aplikasi hasil kirim rumah simpel satpas hp biarpun data online satpas polres surabaya polres jombang jatim proses hasil makasih polri moga sukses
534,Mantap,Positif,mantap
535,"Alhamdulillah sudah berhasil memperpanjang sim secara online di aplikasi ini, awalnya emang agak bingung, untung dibantu sama temenku yg udah berhasil duluan buat perpanjangan sim. Cuma kendala di download app buat erikkes dan eppsi nya aja. Tp untuk semua proses lancar sampai sim dikirim kerumah ☺️☺️. Untuk satpas di Jatim memang adanya di Polres Jombang sedangkan domisili saya di Sidoarjo, tp bisa terproses dengan lancar. Terima kasih",Positif,alhamdulillah hasil panjang sim online aplikasi bingung untung bantu temenku hasil duluan panjang sim kendala download app erikkes eppsi proses lancar sim kirim rumah  satpas jatim polres jombang domisili sidoarjo proses lancar terima kasih
536,"Proses ,,Mudah ,,cepat,,ok banget",Positif,proses mudah cepat ok banget
537,awalnya bintang 1. stelah dicoba trs akhirnya jadi juga.. top dah utk apk ini.. sangat membantu,Positif,bintang coba top deh apk bantu
538,"Sangat mempermudah sekali disaat pandemi seperti ini, Sya coba perpanjang SIM C & A. Dan sudah transfer & sampai tahap proses. Sambil rebahan dirumah ikuti prosesnya & makan waktu kurang lebih 3 jam, Tes Psikologi nya bnyak sekali.. Tapi sangat membantu, mudah2an proses sampai dikirim lewat posnya tidak terlalu lama.",Positif,mudah saat pandemi coba panjang sim sih a transfer tahap proses rebah rumah ikut proses makan jam tes psikologi bantu mudah an proses kirim pos
539,Ok,Positif,ok
540,Ko verifikasi e ktp susah yah,Positif,verifikasi e ktp susah
541,"Awal pake emang agak susah,tapi lama"" juga gampang. Buat erikkes nya g prlu ke dokter/klinik. 3 hari sim udah smpe drumah. Yang bilang aplikasinya g bisa,harap maklum yg pke satu indonesia,udah bagus ada aplikasi ini biar g antri lama"". Sukses terus buat polri",Positif,pakai susah gampang erikkes dokter klinik sim drumah bilang aplikasi harap maklum pakai indonesia bagus aplikasi biar antri sukses polri
542,"Meski banyak kekurangan ditingkatkan terus.. semangat tim polri indonesia... semangat digitalisasasi dan semakin mudah pelayanan kepada masyarakat.. Bagi netizen yang terhormat, digitalisasi di indonesia itu sedikit rumit karenya warga negara indonesia banyak banget.. semangatin aja biar makin maju...",Positif,kurang tingkat semangat tim polri indonesia semangat digitalisasasi mudah layan masyarakat netizen hormat digitalisasi indonesia rumit karenya warga negara indonesia banget semangatin biar maju
543,Baik demi kemajuan anak bangsa,Positif,maju anak bangsa
544,"Utk aplikasi nya mulai berkembang dan lumayan bagus.god job polri. Yg saya minta utk paket pos nya tolong di perbaiki.saya dr tgl 16 April sampe tgl 22 kenapa belum sampe?toh di paket itu ada telpon saya,estimasi di resi 2 hari.please ?",Positif,aplikasi kembang lumayan bagus god job polri paket pos tolong baik tanggal april tanggal paket telpon estimasi resi please
545,"Sudah Berhasil Mendaftar dan Bayar administrasi, tinggal tunggu SIM baru datang ke rumah.. Terima Kasih sudah memudahkan perpanjangan SIM",Positif,hasil daftar bayar administrasi tinggal tunggu sim rumah terima kasih mudah panjang sim
546,Membantu,Positif,bantu
547,Mantafff,Positif,mantafff
548,Gak bisa verivikasi lewat bantuan google padahal semua data lengkap dan akun terverivikasi mohon bantuan nya,Positif,verivikasi bantu google data lengkap akun terverivikasi mohon bantu
549,Keren dan mantap,Positif,keren mantap
550,"Yg susah verifikasi wajahnya..cape angguk2 geleng3 buka mulut kedip2 berulang kali ga jadi2, test psikolog sm test kesehatan udah..solusinya gmn???",Positif,susah verifikasi wajah capek angguk geleng buka mulut kedip ulang test psikolog test sehat solusi
551,Mau tanya saya sudah selesai pendaftarannya dan sisa tahap terkhir yaitu transfer biayanya. Tp sampe sekarang sy belum dapat no rek atau VA untuk pembayarannya. Dimana saya bisa mendapatkan No Rek atau VA krn VA yang su pake saat bayar biaya psikolog sudah tidak bisa digunakan. Terima kasih,Positif,selesai daftar sisa tahap terkhir transfer biaya no rek va bayar mana no rek va va su pakai bayar biaya psikolog terima kasih
552,Aku berhasil dapat SIM. Seneng banget karena ga mesti repot repot. Memang agak lama saat verifikasi data biometrik gitu. Tapi setelahnya lancar lancar saja. ERikkes juga lancar dan ePPsi juga lancar. Jd kita yg jauh blm ada dokter terdekatnya pilih aja pusat. Nanti langsung ikutin aja test online seperti biasa. Alhamdulillah sy lancar2 aja... dan sukses dalam 4 hari bisa mendapatkan SIM nya. Datang pas banget SIM lama saya habis masa. Terima kasih Korlantas. Sukses selalu.,Positif,hasil sim senang banget mesti repot repot verifikasi data biometrik telah lancar lancar erikkes lancar eppsi lancar dokter dekat pilih pusat langsung ikut test online alhamdulillah lancar sukses sim pas banget sim habis terima kasih korlantas sukses
553,Kok cuma sim A.dan sim C aja.ga ada sim B nya.brarti semua jenis sim ga terdaftar.sama aja bohong ini ma🤦🤦🤦🤦,Positif,sim a sim sih sim b jenis sim daftar bohong ma
554,Verifikasi nik...kok gk bisa..,Positif,verifikasi nik
555,"Saya apresiasi dengan adanya upaya pembuatan aplikasi ini, masyarakat atau user tingal bersabar, karena setiap aplikasi tidak akan langsung sempurna. Kita tunggu saja update nya",Positif,apresiasi upaya buat aplikasi masyarakat user tinggal sabar aplikasi langsung sempurna tunggu update
556,"Sangat membantu,,",Positif,bantu
557,Dukung terus profesionalisme POLRI #PRESISI,Positif,dukung profesionalisme polri presisi
558,"Mohon ijin bertanya🙏🙏🙏 secara proses perpanjangan di aplikasi selalu ERROR, apakah bisa malakukan proses perpanjangan ke lokasi satpas terdekat atau ada solusi lain.?!",Positif,mohon ijin proses panjang aplikasi error malakukan proses panjang lokasi satpas dekat solusi
559,Kenapa aplikasi belum siap digunakan ya? Padahal saya lagi butuh SIM,Positif,aplikasi butuh sim
560,"Tolong diperbaiki lagi dan ditambahkan untuk perpanjangan SIM B1/B1 Umum, SIM B2/B2 Umum, jangan cuma SIM A dan SIM C saja yg bisa perpanjangan dengan sistem online, sukses terus Korlantas POLRI👍🏼👍🏼👍🏼",Positif,tolong baik panjang sim b b sim b b sim a sim sih panjang sistem online sukses korlantas polri
561,Bagus,Positif,bagus
562,"Sudah pada tahap verifikasi KTP, tapi gagal karena nomor pakai kartu halo, ganti pake nomor simpati bisa, saya harap ke depan juga ada pilihan fitur ganti nomor, karena seperti nya belum ada fitur itu sekarang",Positif,tahap verifikasi ktp gagal nomor pakai kartu halo ganti pakai nomor simpati harap pilih fitur ganti nomor fitur
563,Tinggal kesehatan yg blm bisa online,Positif,tinggal sehat online
564,Tinggal transfer pembayaran akhir tp nomer rekening tidak bisa dilihat kembali. Gimana solusinya... :(,Positif,tinggal transfer bayar nomer rekening solusi
565,Aplikasi yang sangat membantu dan memudahkan masyarakat dalam proses perpanjangan SIM,Positif,aplikasi bantu mudah masyarakat proses panjang sim
566,"Aplikasi keren... Walau harus mencari waktu untuk mengirim data... Terima kasih... Sy tinggal menunggu SIM saya dikirim... Sesuai janji, sy kasih Bintang 5....",Positif,aplikasi keren cari kirim data terima kasih tinggal tunggu sim kirim sesuai janji kasih bintang
567,"Yang gagal verifikasi ktp gagal, buka terlebih dahulu email akan ada aktivasi akun email, setelah itu baru verifikasi ktp. Saya sudah ditahap 3 dalam pemilihan satpas wilayah lampung tidak terbaca.",Positif,gagal verifikasi ktp gagal buka email aktivasi akun email verifikasi ktp tahap pilih satpas wilayah lampung baca
568,sangat membantu,Positif,bantu
569,"Sudah ada perkembangan baik, nice buat developer dan niat korlantas untuk bertransformasi. Hanya saja untuk pemilihan satpas polres wilayah polda jatim belum lengkap. Semoga fitur-fitur nya tambah lengkap dan dapat mempermudah masyarakat 👍👍",Positif,kembang nice developer niat korlantas transformasi pilih satpas polres wilayah polda jatim lengkap moga fitur-fitur lengkap mudah masyarakat
570,Mantaap,Positif,mantap
571,"Saya Domisilinya di wilayah Jawa barat, tetapi SATPAS wilayah Jawa barat tidak ada pada saat pendaftaran SIM online akhirnya saya pilih SATPAS Polda Metro Jaya dan akhirnya SIMnya di kirim juga.",Positif,domisili wilayah jawa barat satpas wilayah jawa barat daftar sim online pilih satpas polda metro jaya simnya kirim
572,"mohon pencerahan, untuk verifikasi ktp, sudah sesuai instruksi, tetapi gagal terus...",Positif,mohon cerah verifikasi ktp sesuai instruksi gagal
573,"Mantap ndan, semoga terus melakukan kaizen. Buat yang blm sukses pake aplikasi ini, sabar, kalem telatenin, ane udah berhasil nerima sim perpanjangan, membantu sangat yg saat ini ane lagi tugas luar daerah. SEMONGKO NDAN",Positif,mantap ndan moga kaizen sukses pakai aplikasi sabar kalem telatenin ane hasil terima sim panjang bantu ane tugas daerah semongko ndan
574,"Sekarang foto sim bisa lebih glowing hahaha, utk yg bingung pilih satpas, pilih aja satpas terdekat kalian dmn aja. Lalu isi alamat kalian, dan ikuti proses nya... Semoga pengembangan aplikasinya utk semua fitur bs disegerakan sampai komplit dan Tq POLRI utk aplikasinya...",Positif,foto sim glowing hahaha bingung pilih satpas pilih satpas dekat mana isi alamat ikut proses moga kembang aplikasi fitur segera komplit tq polri aplikasi
575,Mantab akhirnya SIM di kirim ke rumah dengan aman. Semoga kedepannya makin cepat prosesnya dan segera aktif perpanjang STNK juga di apliaksi ini. Teruskan dan tingkatkan kembali servernya team Digital Korlantas POLRI 🙏,Positif,mantab sim kirim rumah aman moga depan cepat proses aktif panjang stnk apliaksi terus tingkat servernya team digital korlantas polri
576,"mantap, sangat membatu untuk memperpanjang masa berlaku sim saya",Positif,mantap batu panjang laku sim
577,Notifikasi OTP sms tidak diterima,Positif,notifikasi otp sms terima
578,Semoga servis online ini bisa bermanfaat bagi warga negara Indonesia khususnya yang di pelosok negeri,Positif,moga servis online manfaat warga negara indonesia pelosok negeri
580,Alhamdulillah sukses perpanjang sim,Positif,alhamdulillah sukses panjang sim
581,Tingkat kan terus aplikasi nya,Positif,tingkat aplikasi
582,"Digitalisasi SIM selalu gagal. Ini kasih bintang 5 setelah -/+ semingguan setelah direspon, akhirnya berhasil, semoga lebih berhasil kedepannya",Positif,digitalisasi sim gagal kasih bintang - minggu direspon hasil moga hasil depan
583,Mantap... Jdi lbih mudah,Positif,mantap mudah
584,"Mantap, 1 hari langsung beres, dikirim lewat pos hari ke 3 sudah sampai, biaya juga sesuai, Terima kasih inovasi dan transparansinya, dalam meningkatkan pelayanan ke masyarakat",Positif,mantap langsung beres kirim pos biaya sesuai terima kasih inovasi transparansi tingkat layan masyarakat
585,kenapa saya isi data eror terus pa admin tolong di cek dong,Positif,isi data eror admin tolong cek
586,"Smoga smua bisa, kl tdk nnt dkrngi bintangnya",Positif,moga kalo dkrngi bintang
587,"aplikasi yang bagus, membantu kami masyarakat dalam mengetahui pengguna jalan dll",Positif,aplikasi bagus bantu masyarakat guna jalan dll
588,"Apabila fisik SIM tidak dapat ditunjukkan ke petugas, apakah SIM digital sudah dapat mewakili Fisik SIM yg ada??",Positif,fisik sim tugas sim digital wakil fisik sim
589,Suruh verifikasi wajah aja gagal teruss.. Padahal wajah sendiri. Gak pernah operasi plastik.,Positif,suruh verifikasi wajah gagal wajah operasi plastik
590,Bagus... 👍,Positif,bagus
591,Mantap lah🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,Positif,mantap lah
592,"Sudah terdaftar Tapi kenapa belum bisa melakukan pendaftaran secara Online , keterangan fitur belum tersedia Ditunggu update nya",Positif,daftar daftar online terang fitur sedia tunggu update
593,"Hari saya meng-update aplikasi ini. Namun keluhan di bawah sama sekali belum ada solusi. Aplikasinya tetep, tidak ada perubahan dari yang sebelumnya: Saya sudah menyelesaikan tahapan e-rikkes dan tes psikologi. NAMUN masalah justru muncul ketika menge-KLIK Lokasi SATPAS. Polda JATIM muncul, namun hanya hanya 1 kabupaten, yaitu JOMBANG. Sementara saya tinggal di Kabupaten Pamekasan. Apa solusinya?",Positif,meng-update aplikasi keluh solusi aplikasi ubah selesai tahap e-rikkes tes psikologi muncul menge-klik lokasi satpas polda jatim muncul kabupaten jombang tinggal kabupaten pamekasan solusi
594,Mantap di perbarui dan periksa bug nya !,Positif,mantap baru periksa bug
595,Barusan udah update dan ada perbaikan saat add dokumen tidak langsung gagal tapi disuruh lengkapi data moga semakin baik appnya dan lebih lengkap seperti samsat digital dll,Positif,barusan update baik dokumen langsung gagal suruh lengkap data moga appnya lengkap samsat digital dll
596,Membantu efisiensi masyarakat,Positif,bantu efisiensi masyarakat
597,Mantap gan,Positif,mantap gan
598,"Assalmualaikum pak mohon ijin memberi saran kalau bisa dari pihak polri ada video panduan yang di upload di IG, YUTUBE atau media sosial lainya biar kami para pengguna aplikasi ini paham dan ter arah jujur saja saya juga bingung mau daptar sim baru tapi alurnya masih bingung mohon maaf sebelumnya",Positif,assalmualaikum mohon ijin saran polri video pandu upload ig yutube media sosial lai biar guna aplikasi paham ter arah jujur bingung daptar sim alur bingung mohon maaf
599,"Verifikasi e-ktp memang agak sulit, pilih waktu yg kira2 sepi pengguna. Lalu download ePPsi SIM, daftar, login, beli voucher dan kerjakan tes-nya. Jika lulus baru download eRRikes, daftar, isi disini saya tidak beli voucher lulus tes kesehatan tanpa ke klinik, lalu upload foto ktp dll, pilihan polda hanya polda metro dan polda jatim, saya pilih polda metro, wlwpun saya di DIY. Pilih dikirim pos, bayar, selesai, sekarang sedang menunggu sim di antar pos",Positif,verifikasi e-ktp sulit pilih sepi guna download eppsi sim daftar login beli voucher kerja tes lulus download errikes daftar isi beli voucher lulus tes sehat klinik upload foto ktp dll pilih polda polda metro polda jatim pilih polda metro diy pilih kirim pos bayar selesai tunggu sim pos
600,sudah agak baik tapi kurang lancar dalam memilih lokasi satpas,Positif,lancar pilih lokasi satpas
601,"Saya sudah urus sim perpanjang, tapi kelewat jam pembayaran, mau dibatalkan gak bisa, mau di urus perpanjang lagi gak bisa Nomor rekening gak bisa di lihat, Solusinya giamna ini ?",Positif,urus sim panjang lewat jam bayar batal urus panjang nomor rekening lihat solusi giamna
602,Ditunggu Updatenya untuk membuat sim online,Positif,tunggu updatenya sim online
603,Sangat recommended 3 hari jadi di kirim kerumah.ga usah keluar rumah untuk perpanjangan sim,Positif,recommended kirim rumah rumah panjang sim
604,Good service,Positif,good service
605,Mantap,Positif,mantap
606,Alhamdulillah lancar dan sukses. Semoga SIM nya sampe dirumah Makasih ngab 👍👍,Positif,alhamdulillah lancar sukses moga sim rumah makasih ngab
607,"Aplikasi yg saya tunggu"" selama bertahun-tahun. Terimakasih telah memudahkan urusan perpanjangan SIM saya. Biaya lebih murah dan gak perlu antri"". Domisili Bandung juga ternyata bisa ya pilih polda metro jaya. Mantap.",Positif,aplikasi tunggu tahun terimakasih mudah urus panjang sim biaya murah antri domisili bandung pilih polda metro jaya mantap
608,Alhamdulillah berhasil tinggal tunggu proses pencetakan dan pengiriman SIM.... Bravo Korlantas....Bravo Polri,Positif,alhamdulillah hasil tinggal tunggu proses cetak kirim sim bravo korlantas bravo polri
609,"sdh mulai merata, ayo semangat buat team developer nya 💪💪",Positif,rata ayo semangat team developer
610,"Alhamdulillah Akhirnya jadi juga, walaupun lumayan lama",Positif,alhamdulillah lumayan
611,"SiM A & SiM C sudah di terima di rumah 😀 Terima kasih sangat membatu, Semoga sukses selalu untuk POLRI🥰 Buat rekan2 yg mau perpanjang/bikin baru, bila terjadi eror di aplikasi harap coba lain jam atau lain hari, mungkin server padat merayap seperti lalu-lintas menuju pelaminan denganMu, EaaaaaaaaaaaaaaK...🤣🤣🤣 Semua dilakukan dengan transfer jadi ga perlu keluar rumah apalagi antri, Seperti antri memasuki hati yg belum terbuka... Uhuuuuuuuy... 😂😂😂",Positif,sim a sim sih terima rumah terima kasih batu moga sukses polri rekan panjang bikin eror aplikasi harap coba jam server padat rayap lalu-lintas pelamin dengan eaaaaaaaaaaaaaak  transfer rumah antri antri pasuk hati buka uhuuuuuuuy
612,Mantap,Positif,mantap
613,"Aplikasi lumayan bagus,semoga saja buat kedepannya bisa lebih sangat bagus lagi. Terima kasih jg udah membantu perpanjangan SIM A saya lewat aplikasi ini..",Positif,aplikasi lumayan bagus moga depan bagus terima kasih bantu panjang sim a aplikasi
614,Saya sudah bisa sampai proses akhir..👍👍,Positif,proses
615,Mohon maaf sebelumnya ide nya bagus tapi penerapan nya agak kurang kalau saja aplikasi ini mudah diakses akan sangat membantu masyarakat mengurangi calo dan menghemat waktu dijaman digitalisasi seharusnya institusi sebesar polri pasti sangat mudah mendapat SDM yg jago membuat aplikasi yg berkualitas semoga bisa diperbaiki dan bisa berguna bagi kami masyarakat kecil tetap semangat dan jaya selalu polri melindungi dan mengayomi masyarakat,Positif,mohon maaf ide bagus terap aplikasi mudah akses bantu masyarakat kurang calo hemat jam digitalisasi institusi polri mudah sdm jago aplikasi kualitas moga baik guna masyarakat semangat jaya polri lindung ayom masyarakat
616,"Klo berjalan normal seharusnya aplikasi ini sangat membantu yg penting harus sinkron juga dengan unit dilapangan. Perlu ditambahkan juga alamat pengiriman selain alamat KTP jika SIM harus dikirim, karena belum tentu juga tinggalnya sesuai alamat KTP(pindah tugas). Sudah beberapa kali coba update foto profil gagal terus.Verifikasi KTP gagal terus, padahal sudah mengikuti gerakan sesuai perintah. Mungkin verifikasi KTP bisa dipermudah cukup dg upload foto selfi memegang KTP",Positif,kalo jalan normal aplikasi bantu sinkron unit lapang alamat kirim alamat ktp sim kirim tinggal sesuai alamat ktp pindah tugas coba update foto profil gagal verifikasi ktp gagal ikut gera sesuai perintah verifikasi ktp mudah upload foto selfi pegang ktp
617,"Masih belum komplit menunya,dan kadang susah login",Positif,komplit menu kadang susah login
618,Josssss,Positif,josssss
619,"Opsi pembayarannya tidak ada, nomor rekening atau va-nya",Positif,opsi bayar nomor rekening va-nya
620,"Alhamdulillah setelah dua kali ditolak akirnya yang ketiga kali berhasil, intinya kita harus teliti mengisi datanya karena dua kali gagal ternyata kesalahan ada pada bigron foto tidak pakai warna biru, terimakasih Dan👍🏻👍🏻👍🏻",Positif,alhamdulillah tolak akirnya tiga hasil inti teliti isi data gagal salah bigron foto pakai warna biru terimakasih
621,"Status udah di bayar, dari tgl 17 sampe sekarang kaga di proses juga..",Positif,status bayar tanggal kagak proses
622,"Perpanjangan Sim A dan Sim C dibuat Hari Jumat, Selasa paginya udah dapat. MANTUL terobosannya Korlantas Polri. Terima kasih.",Positif,panjang sim a sim sih jumat selasa pagi mantul terobos korlantas polri terima kasih
623,Terima kasih korlantas. Menperpanjang sim tinggal duduk manis dirumah. Jaya selalu,Positif,terima kasih korlantas menperpanjang sim tinggal duduk manis rumah jaya
